participant,participant_order,participant_session,condition,condition_session,source_file,timestamp_utc,seconds_from_active_start,event,mode,position,depth
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:35.833695400+00:00,0.065509,candidate_changed,Browsing,0.4164,0.3199
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:39.274151200+00:00,3.5059649999999998,candidate_changed,Browsing,0.2498,0.6336
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:41.572931700+00:00,5.8047450000000005,pose_tracking_lost,Browsing,0.1078,0.6478
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:41.572931700+00:00,5.8047450000000005,mode_changed,Overview,0.1078,0.6478
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:42.283235200+00:00,6.515049,pose_tracking_restored,Overview,0.1078,0.6478
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:42.284741800+00:00,6.516555,mode_changed,Browsing,0.1086,0.6477
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:42.285258300+00:00,6.517072,candidate_changed,Browsing,0.1086,0.6477
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:43.111365400+00:00,7.343179,candidate_changed,Browsing,0.25,0.6379
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:44.345652500+00:00,8.577466,candidate_changed,Browsing,0.2496,0.6385
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.358352100+00:00,10.590166,touch_started,Browsing,0.1793,0.6367
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.358352100+00:00,10.590166,selection_confirmed,Browsing,0.1793,0.6367
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.358352100+00:00,10.590166,mode_changed,TouchConfirmed,0.1793,0.6367
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.548475800+00:00,10.780289,touch_ended,TouchConfirmed,0.1898,0.645
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.681714100+00:00,10.913528,touch_started,TouchConfirmed,0.1949,0.6461
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.809824100+00:00,11.041638,mode_changed,Detail,0.1949,0.6521
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.810351400+00:00,11.042165,detail_entered,Detail,0.1949,0.6521
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:46.836883900+00:00,11.068698,touch_ended,Detail,0.1962,0.6519
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:49.417496600+00:00,13.64931,candidate_changed,Detail,0.2501,0.6019
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:52.529063200+00:00,16.760877,space_pressed,Detail,0.3274,0.5079
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:53.245581700+00:00,17.477395,pose_tracking_lost,Detail,0.3273,0.5086
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:53.246664500+00:00,17.478478,mode_changed,Overview,0.3273,0.5086
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:53.266531+00:00,17.498345,pose_tracking_restored,Overview,0.3273,0.5086
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:53.267536400+00:00,17.49935,mode_changed,Browsing,0.3269,0.5088
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:13:53.267536400+00:00,17.49935,candidate_changed,Browsing,0.3269,0.5088
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:01.187388900+00:00,25.419203,pose_tracking_lost,Browsing,0.353,0.126
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:01.187388900+00:00,25.419203,mode_changed,Overview,0.353,0.126
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.120856800+00:00,51.35267,pose_tracking_restored,Overview,0.353,0.126
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.120856800+00:00,51.35267,mode_changed,Browsing,0.3586,0.1259
1,MoveFirst,3,Ours,3,user_events_20260610_141310_102.tsv,2026-06-10 05:14:27.120856800+00:00,51.35267,candidate_changed,Browsing,0.3586,0.1259
