participant,participant_order,participant_session,condition,condition_session,source_file,mode,duration_s
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,Browsing,36.958103300000005
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,TouchConfirmed,0.8974121
5,MoveFirst,1,Ours,1,user_events_20260610_162625_771.tsv,Detail,20.3000333
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,Overview,8.493345300000001
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,Browsing,20.9665436
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,TouchConfirmed,0.8985588
5,MoveFirst,2,Ours,2,user_events_20260610_162749_055.tsv,Detail,8.732537100000002
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,Overview,12.212182799999999
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,Browsing,17.434081600000003
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,TouchConfirmed,0.9014339
5,MoveFirst,3,Ours,3,user_events_20260610_162839_480.tsv,Detail,9.473887399999999
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,Overview,7.5126514
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,Browsing,56.281602099999986
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,TouchConfirmed,0.0
5,MoveFirst,4,Baseline,1,user_events_20260610_163328_660.tsv,Detail,19.8314563
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,Overview,14.3673751
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,Browsing,30.6531127
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,TouchConfirmed,0.0
5,MoveFirst,5,Baseline,2,user_events_20260610_163504_817.tsv,Detail,24.0902657
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,Overview,7.418760399999999
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,Browsing,19.0142996
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,TouchConfirmed,0.0
5,MoveFirst,6,Baseline,3,user_events_20260610_163623_770.tsv,Detail,20.1731273
6,TouchFirst,1,Baseline,1,user_events_20260610_165105_903.tsv,Overview,16.097624500000002
