participant,participant_order,participant_session,condition,condition_session,source_file,from_mode,to_mode,transition,direction,position,depth,pre_3s_events,pre_3s_candidate_changes,pre_3s_path_distance,pre_3s_position_delta,pre_3s_depth_delta
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3698,0.2573,3,0,0.0,0.00040000000000001146,0.00029999999999996696
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Overview,Browsing -> Overview,backward,0.2041,0.3979,3,1,0.019592090240706888,-0.00789999999999999,0.007999999999999952
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Overview,Browsing,Overview -> Browsing,forward,0.2041,0.3979,5,1,0.05002529578990923,-0.00789999999999999,0.007999999999999952
1,MoveFirst,5,Baseline,2,user_events_20260610_142325_337.tsv,Browsing,Detail,Browsing -> Detail,forward,0.254,0.3147,5,1,0.12206137052013225,0.04239999999999999,-0.10340000000000005
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5001,0.5046,1,0,0.0,9.999999999998899e-05,0.0046000000000000485
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,Detail,Browsing -> Detail,forward,0.2179,0.3363,4,1,0.10316397249284617,0.0456,-0.03160000000000002
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Detail,Overview,Detail -> Overview,backward,0.2696,0.3369,5,0,0.07860343503944342,0.11020000000000002,-0.0519
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,Browsing,Overview -> Browsing,forward,0.2679,0.3379,8,0,0.1303069165469783,0.10850000000000004,-0.0509
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,Overview,Browsing -> Overview,backward,0.2713,0.3839,5,1,0.0019723082923315846,0.0016999999999999793,0.04700000000000004
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,Browsing,Overview -> Browsing,forward,0.2706,0.3841,2,0,0.0,-0.0006999999999999784,0.00019999999999997797
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,Detail,Browsing -> Detail,forward,0.1929,0.4182,9,2,0.12022545561784843,-0.01580000000000001,0.012699999999999989
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Detail,Browsing,Detail -> Browsing,backward,0.27,0.3385,3,0,0.12724163761173513,-0.013899999999999968,0.00770000000000004
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,Overview,Browsing -> Overview,backward,0.5068,0.894,0,0,0.0,,
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5061,0.8946,3,0,0.0,-0.0007000000000000339,0.0005999999999999339
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Browsing,Detail,Browsing -> Detail,forward,0.2707,0.3201,4,1,0.1471472449491832,0.06470000000000001,-0.06319999999999998
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Detail,Overview,Detail -> Overview,backward,0.2652,0.3251,6,0,0.08969061840677459,-0.005500000000000005,0.0050000000000000044
1,MoveFirst,6,Baseline,3,user_events_20260610_142511_355.tsv,Overview,Browsing,Overview -> Browsing,forward,0.2633,0.3296,5,0,0.04856058072140407,-0.03860000000000002,0.0363
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4956,0.5001,1,0,0.0,-0.004400000000000015,9.999999999998899e-05
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Overview,Browsing -> Overview,backward,0.0705,0.511,4,1,0.4296408568451924,-0.4295,0.01100000000000001
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.0705,0.5111,5,1,0.4296408568451924,-0.4295,0.011099999999999999
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Overview,Browsing -> Overview,backward,0.0722,0.5279,6,1,0.016985792844874087,0.001700000000000007,0.016900000000000026
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.0722,0.5275,8,1,0.016985792844874087,0.001700000000000007,0.01649999999999996
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Overview,Browsing -> Overview,backward,0.0729,0.5017,8,2,0.017385792844874154,0.0024000000000000132,-0.009299999999999975
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.0759,0.5044,8,1,0.026209494377069847,0.003699999999999995,-0.023500000000000076
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5459,0.3368,1,0,0.0,0.0,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5603,0.3178,1,0,0.0,0.0,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6176,0.29,5,1,0.018675384903796905,-0.0039000000000000146,0.006399999999999961
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5847,0.3083,1,0,0.0,0.0,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6211,0.3014,6,1,0.05272992184753254,-0.009500000000000064,0.018799999999999983
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.6053,0.2996,1,0,0.0,0.0,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5725,0.292,9,1,0.054729367037809576,-0.03279999999999994,-0.007599999999999996
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5768,0.2769,10,1,0.062235979663972096,-0.03859999999999997,-0.020699999999999996
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5135,0.3126,3,0,0.0743664574926089,-0.05890000000000006,0.045399999999999996
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4613,0.3598,1,0,0.0,0.0,0.0
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Overview,Browsing -> Overview,backward,0.4647,0.3127,4,1,0.09472427398176256,0.09000000000000002,0.01699999999999996
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4646,0.3129,3,0,0.09028355331952768,0.08929999999999999,0.012800000000000034
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Overview,Browsing -> Overview,backward,0.5374,0.3058,6,1,0.07336900993424243,0.07269999999999999,-0.006899999999999962
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5374,0.3061,8,1,0.07336900993424243,0.07269999999999999,-0.006599999999999995
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6172,0.3535,6,1,0.09311594690569068,0.07979999999999998,0.047699999999999965
2,TouchFirst,1,Baseline,1,user_events_20260610_144455_266.tsv,Detail,Browsing,Detail -> Browsing,backward,0.6158,0.3819,7,0,0.08925747627638399,-0.0013999999999999568,0.028400000000000036
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5006,0.5035,1,0,0.0,0.0006000000000000449,0.0034999999999999476
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6486,0.3132,8,2,0.11183264864844614,-0.011500000000000066,0.003500000000000003
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5699,0.3145,7,0,0.1194155888218412,-0.11530000000000007,0.01150000000000001
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4987,0.3437,5,1,0.08249694015150555,0.030799999999999994,0.04999999999999999
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5474,0.3764,2,0,0.00022360679774995434,-0.00019999999999997797,-9.999999999998899e-05
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4048,0.3223,5,1,0.053688829163710344,-0.05230000000000001,-0.006800000000000028
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,Browsing,Detail -> Browsing,backward,0.3754,0.3118,1,0,0.0,0.0,0.0
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.3961,0.3142,6,0,0.03393500201035961,0.020699999999999996,0.0023999999999999577
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4066,0.2844,10,0,0.07244144243324294,0.031200000000000006,-0.027400000000000035
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4183,0.3017,12,3,0.09380880318362902,0.08779999999999999,-0.006299999999999972
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4409,0.3371,8,0,0.13340773454746316,0.07950000000000002,0.022299999999999986
2,TouchFirst,2,Baseline,2,user_events_20260610_144640_799.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5002,0.3604,5,0,0.059076753810026535,0.05229999999999996,0.06640000000000001
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Overview,Browsing,Overview -> Browsing,forward,0.4952,0.5015,3,0,0.0,-0.0048000000000000265,0.0014999999999999458
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Overview,Browsing -> Overview,backward,0.1208,0.618,6,1,0.39713554728969297,-0.3792,0.118
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Overview,Browsing,Overview -> Browsing,forward,0.1272,0.6218,0,0,0.0,,
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.6153,0.305,7,2,0.02751371645769978,0.0045999999999999375,-0.01419999999999999
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5907,0.3511,1,0,0.0,-0.006099999999999994,0.005200000000000038
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.5599,0.2984,2,0,0.0,0.0,0.0
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.5607,0.2933,6,0,0.027591535343219755,0.0008000000000000229,-0.005099999999999993
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Overview,Browsing -> Overview,backward,0.5504,0.2868,1,0,0.0,0.0,0.0
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Overview,Browsing,Overview -> Browsing,forward,0.5498,0.2869,2,0,0.0,-0.0006000000000000449,9.999999999998899e-05
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4824,0.3283,6,1,0.07970770735085758,-0.068,0.04149999999999998
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4834,0.3505,11,1,0.10316059545453295,-0.067,0.06369999999999998
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4924,0.3369,11,0,0.04223605517347373,0.010000000000000009,0.008599999999999997
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4893,0.3409,15,0,0.049731338766028275,0.006900000000000017,0.0126
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.473,0.3335,10,0,0.029364888507506154,-0.01940000000000003,-0.0033999999999999586
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4789,0.3352,6,0,0.031056525155583575,0.005900000000000016,0.0016999999999999793
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4735,0.3348,5,0,0.02865067981744778,-0.014000000000000012,0.01050000000000001
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4646,0.3425,10,0,0.08143182902539262,-0.01429999999999998,0.007300000000000029
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.4696,0.3273,11,0,0.12219955067822193,-0.007899999999999963,0.006799999999999973
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Detail,Browsing,Detail -> Browsing,backward,0.4071,0.3027,11,0,0.15192847030817525,-0.057699999999999974,-0.010899999999999965
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Overview,Browsing -> Overview,backward,0.3764,0.2921,4,1,0.03988113536508118,0.005800000000000027,-0.03469999999999995
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Overview,Browsing,Overview -> Browsing,forward,0.3765,0.2922,6,1,0.03988113536508118,0.005900000000000016,-0.034599999999999964
2,TouchFirst,3,Baseline,3,user_events_20260610_144754_139.tsv,Browsing,Detail,Browsing -> Detail,forward,0.526,0.3249,2,0,0.022420749318432697,0.016199999999999992,0.015500000000000014
