participant,participant_order,participant_session,condition,condition_session,source_file,event,count
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,touch_started,13
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,touch_ended,13
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,candidate_changed,12
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,pose_tracking_lost,9
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,pose_tracking_restored,8
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,selection_confirmed,4
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,detail_entered,4
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,detail_exited,3
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,space_pressed,2
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,session_start,1
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,intro_back_clicked,1
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,session_end,1
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,touch_started,23
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,touch_ended,23
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,candidate_changed,22
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,mode_changed,14
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,pose_tracking_lost,5
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,pose_tracking_restored,5
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,selection_confirmed,3
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,detail_entered,3
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,detail_exited,2
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,space_pressed,2
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,session_start,1
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,intro_back_clicked,1
4,TouchFirst,1,ScreenTouch,1,user_events_20260610_155503_229.tsv,session_end,1
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,touch_started,33
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,touch_ended,33
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,candidate_changed,22
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,mode_changed,15
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,selection_confirmed,7
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,detail_entered,7
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,detail_exited,5
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,pose_tracking_lost,2
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,pose_tracking_restored,2
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,space_pressed,2
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,session_start,1
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,intro_back_clicked,1
4,TouchFirst,2,ScreenTouch,2,user_events_20260610_155739_340.tsv,session_end,1
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,mode_changed,19
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,candidate_changed,12
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,pose_tracking_lost,9
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,pose_tracking_restored,9
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,touch_started,6
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,touch_ended,6
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,selection_confirmed,2
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,detail_entered,2
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,space_pressed,2
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,session_start,1
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,intro_back_clicked,1
4,TouchFirst,3,ScreenTouch,3,user_events_20260610_160000_702.tsv,session_end,1
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,candidate_changed,44
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,mode_changed,16
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,touch_started,10
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,touch_ended,10
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,selection_confirmed,5
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,detail_entered,5
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,detail_exited,5
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,space_pressed,2
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,session_start,1
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,pose_tracking_lost,1
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,pose_tracking_restored,1
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,intro_back_clicked,1
4,TouchFirst,4,MoveDistance,1,user_events_20260610_160513_121.tsv,session_end,1
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,mode_changed,12
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,candidate_changed,11
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,touch_started,7
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,touch_ended,7
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,selection_confirmed,4
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,detail_entered,4
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,detail_exited,3
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,space_pressed,2
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,session_start,1
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,pose_tracking_lost,1
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,pose_tracking_restored,1
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,intro_back_clicked,1
4,TouchFirst,5,MoveDistance,2,user_events_20260610_160655_592.tsv,session_end,1
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,candidate_changed,38
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,mode_changed,31
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,touch_started,18
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,touch_ended,18
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,selection_confirmed,9
4,TouchFirst,6,MoveDistance,3,user_events_20260610_160750_683.tsv,detail_entered,9
