participant,participant_order,participant_session,condition,condition_session,source_file,touch_kind,timestamp_utc,event,mode,candidate_index,selected_index,position,depth,wrong_touch,answered_touch
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:46:55.449842300+00:00,touch_started,Browsing,6.0,,0.685,0.2949,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:46:56.525007300+00:00,touch_started,Browsing,7.0,,0.6486,0.3132,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:46:58.735028700+00:00,touch_started,Detail,7.0,7.0,0.5699,0.3145,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:02.253860600+00:00,touch_started,Browsing,7.0,,0.4679,0.2937,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:04.087170500+00:00,touch_started,Browsing,6.0,,0.4987,0.3437,False,True
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:08.056625400+00:00,touch_started,Detail,6.0,6.0,0.5474,0.3764,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:12.305199300+00:00,touch_started,Browsing,6.0,,0.4571,0.3291,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:13.108131600+00:00,touch_started,Browsing,5.0,,0.4048,0.3223,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:17.049416100+00:00,touch_started,Detail,5.0,5.0,0.3754,0.3118,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:18.035518200+00:00,touch_started,Browsing,5.0,,0.3961,0.3142,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:19.181510+00:00,touch_started,Detail,5.0,5.0,0.4066,0.2844,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:27.897139+00:00,touch_started,Browsing,5.0,,0.3161,0.3485,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:28.407660700+00:00,touch_started,Browsing,4.0,,0.3305,0.308,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:28.723235800+00:00,touch_started,Browsing,3.0,,0.3519,0.3095,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:29.058873300+00:00,touch_started,Browsing,2.0,,0.3557,0.3109,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:30.129389100+00:00,touch_started,Browsing,1.0,,0.3614,0.3148,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:31.357914+00:00,touch_started,Browsing,1.0,,0.4183,0.3017,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:32.549425700+00:00,touch_started,Detail,1.0,1.0,0.4409,0.3371,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,2026-06-10 05:47:34.455802500+00:00,touch_started,Browsing,1.0,,0.5002,0.3604,False,True
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:46:56.526012900+00:00,selection_confirmed,Browsing,7.0,7.0,0.6486,0.3132,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:47:04.087170500+00:00,selection_confirmed,Browsing,6.0,6.0,0.4987,0.3437,False,True
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:47:13.108657+00:00,selection_confirmed,Browsing,5.0,5.0,0.4048,0.3223,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:47:18.035518200+00:00,selection_confirmed,Browsing,5.0,5.0,0.3961,0.3142,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:47:31.358421800+00:00,selection_confirmed,Browsing,1.0,1.0,0.4183,0.3017,True,False
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,2026-06-10 05:47:34.455802500+00:00,selection_confirmed,Browsing,1.0,1.0,0.5002,0.3604,False,True
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:08.095779300+00:00,touch_started,Browsing,2.0,,0.6107,0.3403,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:11.608603600+00:00,touch_started,Browsing,3.0,,0.6246,0.3436,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:13.894762+00:00,touch_started,Browsing,4.0,,0.6107,0.3192,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:14.969487600+00:00,touch_started,Browsing,5.0,,0.6137,0.3083,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:16.653629200+00:00,touch_started,Browsing,6.0,,0.6153,0.305,False,True
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:23.047851500+00:00,touch_started,Detail,6.0,6.0,0.5907,0.3511,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:31.329310600+00:00,touch_started,Browsing,6.0,,0.5599,0.2984,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:33.450666500+00:00,touch_started,Detail,6.0,6.0,0.5607,0.2933,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:39.084540300+00:00,touch_started,Browsing,4.0,,0.4824,0.3283,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:39.407151300+00:00,touch_started,Detail,4.0,4.0,0.4834,0.3505,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:41.618555+00:00,touch_started,Browsing,4.0,,0.4924,0.3369,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:42.000506300+00:00,touch_started,Detail,4.0,4.0,0.4893,0.3409,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:43.683764300+00:00,touch_started,Browsing,4.0,,0.473,0.3335,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:46.113623300+00:00,touch_started,Detail,4.0,4.0,0.4789,0.3352,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:47.609603600+00:00,touch_started,Browsing,4.0,,0.4735,0.3348,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:48.944795900+00:00,touch_started,Detail,4.0,4.0,0.4646,0.3425,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:49.829114700+00:00,touch_started,Browsing,4.0,,0.4696,0.3273,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:51.183282600+00:00,touch_started,Detail,4.0,4.0,0.4071,0.3027,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:53.238610300+00:00,touch_started,Browsing,4.0,,0.3706,0.3268,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:57.116294900+00:00,touch_started,Browsing,3.0,,0.3894,0.2961,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:48:58.342971600+00:00,touch_started,Browsing,2.0,,0.3794,0.301,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:01.704100800+00:00,touch_started,Browsing,1.0,,0.526,0.3249,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:02.233944200+00:00,touch_started,Detail,1.0,1.0,0.5341,0.3072,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:03.944811600+00:00,touch_started,Browsing,1.0,,0.5273,0.3277,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:05.096453700+00:00,touch_started,Detail,1.0,1.0,0.5743,0.3065,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:05.787574800+00:00,touch_started,Browsing,1.0,,0.5802,0.3116,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:06.119186200+00:00,touch_started,Browsing,2.0,,0.5815,0.3036,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:08.938979100+00:00,touch_started,Browsing,3.0,,0.526,0.3187,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:10.571085700+00:00,touch_started,Detail,3.0,3.0,0.5101,0.3036,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:11.414090600+00:00,touch_started,Browsing,3.0,,0.5139,0.3075,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:12.084771200+00:00,touch_started,Detail,3.0,3.0,0.5159,0.3173,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:15.804335100+00:00,touch_started,Browsing,3.0,,0.4132,0.3312,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:17.729996600+00:00,touch_started,Detail,3.0,3.0,0.4118,0.3274,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:18.768013300+00:00,touch_started,Browsing,3.0,,0.4214,0.3204,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:20.672801100+00:00,touch_started,Detail,3.0,3.0,0.408,0.2977,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:21.974917300+00:00,touch_started,Browsing,3.0,,0.4009,0.3113,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:23.746458300+00:00,touch_started,Detail,3.0,3.0,0.3797,0.3177,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:25.793154400+00:00,touch_started,Browsing,3.0,,0.387,0.2872,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:26.677353500+00:00,touch_started,Browsing,2.0,,0.382,0.2881,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:27.463311800+00:00,touch_started,Browsing,1.0,,0.3984,0.2882,True,False
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,2026-06-10 05:49:29.191299900+00:00,touch_started,Browsing,1.0,,0.5064,0.3061,True,False
